signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
42993,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:40:13.892595+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665987853,0.058545692771101554,0.01393676029385381,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42992,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:40:13.360846+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.34688164361173324,0.08024949930327319,0.12032687467477751,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42991,KXHIGHCHI-26MAY12-T80,2026-05-12 23:40:12.821136+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126899793,0.14913348625575995,0.011505851292247864,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42990,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:40:12.261649+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569428,0.08707318448877188,0.27803730045320324,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42958,KXHIGHCHI-26MAY12-T73,2026-05-12 23:34:48.602232+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42957,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:34:48.038092+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831775275,0.07030386364097607,0.029134590768135613,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42956,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:34:47.491696+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665987187,0.058545692771101554,0.013936760293852237,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42955,KXHIGHCHI-26MAY12-T80,2026-05-12 23:34:46.939458+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900192,0.14913348625575995,0.011505851292248721,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42954,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:34:46.377267+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.472707575956955,0.08707318448877188,0.27803730045319036,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42953,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:34:45.824743+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.346881643611728,0.08024949930327319,0.12032687467477389,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42924,KXHIGHCHI-26MAY12-T73,2026-05-12 23:29:28.206703+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42923,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:29:27.673035+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831776152,0.07030386364097607,0.029134590768138607,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42922,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:29:27.139754+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.118054056659856,0.058545692771101554,0.01393676029384849,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42921,KXHIGHCHI-26MAY12-T80,2026-05-12 23:29:26.591821+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900947,0.14913348625575995,0.011505851292250341,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42920,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:29:26.064726+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117168,0.08024949930327319,0.1203268746747661,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42919,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:29:25.523711+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569657,0.08707318448877188,0.27803730045317915,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42890,KXHIGHCHI-26MAY12-T73,2026-05-12 23:24:07.801676+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42889,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:24:07.268376+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831777762,0.07030386364097607,0.029134590768144102,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42888,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:24:06.736453+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986055,0.058545692771101554,0.013936760293849564,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42887,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:24:06.210328+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117078,0.08024949930327319,0.12032687467475987,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42886,KXHIGHCHI-26MAY12-T80,2026-05-12 23:24:05.678210+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900115,0.14913348625575995,0.011505851292248554,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42885,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:24:05.152609+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569624,0.08707318448877188,0.27803730045318265,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42853,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:18:38.815831+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831775108,0.07030386364097607,0.029134590768135044,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42852,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:18:38.271515+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986066,0.058545692771101554,0.01393676029384959,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42851,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:18:37.731561+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117267,0.08024949930327319,0.12032687467477296,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42850,KXHIGHCHI-26MAY12-T80,2026-05-12 23:18:37.170870+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126901713,0.14913348625575995,0.011505851292251984,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42849,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:18:36.613286+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.472707575956954,0.08707318448877188,0.2780373004531914,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42848,KXHIGHCHI-26MAY12-T73,2026-05-12 23:18:36.058339+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42817,KXHIGHCHI-26MAY12-T73,2026-05-12 23:13:17.320701+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42816,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:13:16.785176+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831776962,0.07030386364097607,0.029134590768141375,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42815,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:13:16.255604+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665987276,0.058545692771101554,0.013936760293852447,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42814,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:13:15.719137+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569399,0.08707318448877188,0.2780373004532063,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42813,KXHIGHCHI-26MAY12-T80,2026-05-12 23:13:15.166728+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126899537,0.14913348625575995,0.011505851292247316,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42812,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:13:14.621265+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117319,0.08024949930327319,0.12032687467477658,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42779,KXHIGHCHI-26MAY12-T73,2026-05-12 23:07:49.247611+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42778,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:07:48.706709+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986965,0.058545692771101554,0.013936760293851713,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42777,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:07:48.163919+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831776396,0.07030386364097607,0.029134590768139443,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42776,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:07:47.614089+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569488,0.08707318448877188,0.2780373004531969,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42775,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:07:47.069123+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117259,0.08024949930327319,0.12032687467477243,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
42774,KXHIGHCHI-26MAY12-T80,2026-05-12 23:07:46.514591+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900126,0.14913348625575995,0.011505851292248579,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42742,KXHIGHCHI-26MAY12-T73,2026-05-12 23:02:18.579032+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42741,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:02:18.296780+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986476,0.058545692771101554,0.01393676029385056,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
42740,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:02:18.007210+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569511,0.08707318448877188,0.27803730045319447,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42739,KXHIGHCHI-26MAY12-T80,2026-05-12 23:02:17.713259+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900692,0.14913348625575995,0.011505851292249793,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42738,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:02:17.408908+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.34688164361172114,0.08024949930327319,0.12032687467476912,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
